epoch,lr,train_loss,train_dice,valid_loss,valid_dice,epoch_time_sec,valid_dice_large_bowel,valid_dice_small_bowel,valid_dice_stomach
1,9.9390572859459327e-05,1.1861629900958408,0.61212148021155199,0.34720251106103817,0.83769473646590509,846.95029711723328,0.80666939999999998,0.79653834999999995,0.90987660000000004
2,9.757729755661012e-05,0.62684297742222606,0.76215185520225237,0.33459348748287626,0.814022595794758,707.75928688049316,0.75749489999999997,0.76391379999999998,0.92065865000000002
3,9.4604822947324223e-05,0.57675408793115446,0.78760287878671109,0.31499310963031152,0.81663217709799329,739.62638568878174,0.81512359999999995,0.80521540000000003,0.82955710000000005
4,9.0546341221559915e-05,0.53041222868926208,0.80496778725692353,0.3244003731147434,0.85104905274328913,710.95551347732544,0.86582979999999998,0.77389770000000002,0.91341965999999997
5,8.5501785668734112e-05,0.49661532674012304,0.81604601102981666,0.2991441921465709,0.86056187546738361,695.84920167922974,0.85326743000000005,0.81971263999999999,0.90870569999999995
6,7.9595369988477436e-05,0.47085741457968483,0.82887093347423701,0.30128620115343441,0.86002261644240963,727.16784906387329,0.86865722999999995,0.80769753,0.90371299999999999
7,7.2972529737107579e-05,0.45830982262308151,0.83314052453630938,0.30522018994769312,0.85941313154952981,743.86180257797241,0.85550254999999997,0.80527000000000004,0.91746709999999998
8,6.579634122155991e-05,0.43846590427001053,0.84200607775698444,0.31017991968394104,0.8349650600691515,735.57368350028992,0.82102980000000003,0.80885834000000001,0.87500703000000002
9,5.8243506019491443e-05,0.4204400178185968,0.84614010776151349,0.33241344054272376,0.86999042842358287,738.30932974815369,0.85686547000000002,0.82985233999999997,0.92325380000000001
10,5.0500000000000008e-05,0.40814420349574548,0.85487034612016066,0.29406260257616701,0.87371508624707983,722.45250749588013,0.85857784999999998,0.83247404999999997,0.93009335000000004
11,4.2756493980508593e-05,0.39036468620820092,0.86069472920546219,0.29191199494347808,0.8631877495687541,737.4176344871521,0.85080310000000003,0.81607580000000002,0.92268459999999997
12,3.5203658778440112e-05,0.37908765634435004,0.86453241007774684,0.29599002438548194,0.87633777989972861,745.75138306617737,0.86001830000000001,0.84974914999999995,0.91924596000000003
13,2.8027470262892444e-05,0.36471050361197971,0.87139694467689566,0.28431826385808262,0.87623604838123903,790.08496427536011,0.85772055000000003,0.84528583000000002,0.92570189999999997
14,2.1404630011522593e-05,0.35344369192467479,0.87600949525722205,0.30035249723729107,0.87346939489027653,736.76797699928284,0.85999309999999995,0.83696663000000004,0.92344850000000001
15,1.5498214331265904e-05,0.35070705974777311,0.87622305355515584,0.29209705682576309,0.87942929311684559,765.95690274238586,0.86634469999999997,0.83979919999999997,0.93214417000000005
16,1.0453658778440109e-05,0.34109062016412345,0.88143728124427256,0.28743449073674271,0.88320723415561608,749.30033016204834,0.87229913000000003,0.84468120000000002,0.93264174
17,6.3951770526757955e-06,0.33350319443534504,0.88621586956350562,0.2936562837158706,0.87495718103112163,742.90330123901367,0.85737795000000006,0.83774170000000003,0.92975180000000002
18,3.4227024433899011e-06,0.33147279497807791,0.88632949334571687,0.28908016760541166,0.8815950960045319,760.06154537200928,0.86721974999999996,0.84537697000000001,0.93218875000000001
19,1.6094271405406861e-06,0.32578707430371096,0.88828046280420936,0.29186015264930099,0.87934117831118674,739.6578905582428,0.86376405000000001,0.84215510000000005,0.93210404999999996
20,9.9999999999999995e-07,0.32646872270630023,0.88624195803092853,0.28807933675923258,0.87976750047072483,732.68619537353516,0.86868639999999997,0.84330879999999997,0.92730725000000003
